Region,Territory,Country,State Or Province Abbreviation
APAC,Sri Lanka,Sri Lanka,-
APAC,Syrian Arab Republic,Syrian Arab Republic,-
APAC,Taiwan,Taiwan,-
APAC,Tajikistan,Tajikistan,-
APAC,Thailand,Thailand,-
APAC,Timor-Leste,Timor-Leste,-
APAC,Tokelau,Tokelau,-
APAC,Tonga,Tonga,-
APAC,Turkmenistan,Turkmenistan,-
APAC,Tuvalu,Tuvalu,-
APAC,United States Minor Outlying Islands,United States Minor Outlying Islands,-
APAC,Uzbekistan,Uzbekistan,-
APAC,Vanuatu,Vanuatu,-
APAC,Vietnam,Vietnam,-
APAC,Wallis and Futuna,Wallis and Futuna,-
LATAM,Anguilla,Anguilla,-
LATAM,Antigua and Barbuda,Antigua and Barbuda,-
LATAM,Argentina,Argentina,-
LATAM,Aruba,Aruba,-
LATAM,Bahamas,Bahamas,-
LATAM,Barbados,Barbados,-
LATAM,Belize,Belize,-
North America,Bermuda,Bermuda,-
LATAM,Bolivia,Bolivia,-
LATAM,Bouvet Island,Bouvet Island,-
LATAM,Brazil,Brazil,-
North America,Canada,Canada,-
LATAM,Cayman Islands,Cayman Islands,-
LATAM,Chile,Chile,-
LATAM,Colombia,Colombia,-
LATAM,Costa Rica,Costa Rica,-
LATAM,Cuba,Cuba,-
LATAM,Dominica,Dominica,-
LATAM,Dominican Republic,Dominican Republic,-
LATAM,Ecuador,Ecuador,-
LATAM,El Salvador,El Salvador,-
LATAM,Falkland Islands (Malvinas),Falkland Islands (Malvinas),-
LATAM,French Guiana,French Guiana,-
LATAM,Grenada,Grenada,-
LATAM,Guadeloupe,Guadeloupe,-
LATAM,Guatemala,Guatemala,-
LATAM,Guyana,Guyana,-
LATAM,Haiti,Haiti,-
LATAM,Honduras,Honduras,-
LATAM,Jamaica,Jamaica,-
LATAM,Martinique,Martinique,-
North America,Mexico,Mexico,-
LATAM,Montserrat,Montserrat,-
LATAM,Netherlands Antilles,Netherlands Antilles,-
LATAM,Nicaragua,Nicaragua,-
LATAM,Panama,Panama,-
LATAM,Paraguay,Paraguay,-
LATAM,Peru,Peru,-
LATAM,Puerto Rico,Puerto Rico,-
LATAM,Saint Barthelemy,Saint Barthelemy,-
LATAM,Saint Kitts and Nevis,Saint Kitts and Nevis,-
LATAM,Saint Lucia,Saint Lucia,-
LATAM,Saint Martin,Saint Martin,-
North America,Saint Pierre and Miquelon,Saint Pierre and Miquelon,-
LATAM,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,-
LATAM,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,-
LATAM,Suriname,Suriname,-
LATAM,Trinidad and Tobago,Trinidad and Tobago,-
LATAM,Turks and Caicos Islands,Turks and Caicos Islands,-
LATAM,Uruguay,Uruguay,-
LATAM,Venezuela,Venezuela,-
LATAM,"Virgin Islands, British","Virgin Islands, British",-
LATAM,"Virgin Islands, U.S.","Virgin Islands, U.S.",-
North America,US-WEST,United States,AK
North America,US-SOUTH,United States,AL
North America,US-SOUTH,United States,AR
North America,US-WEST,United States,AZ
North America,US-WEST,United States,CA
North America,US-WEST,United States,CO
North America,US-NORTHEAST,United States,CT
North America,US-SOUTH,United States,DC
North America,US-SOUTH,United States,DE
North America,US-SOUTH,United States,FL
North America,US-SOUTH,United States,GA
North America,US-WEST,United States,HI
North America,US-MIDWEST,United States,IA
North America,US-WEST,United States,ID
North America,US-MIDWEST,United States,IL
North America,US-MIDWEST,United States,IN
North America,US-MIDWEST,United States,KS
North America,US-SOUTH,United States,KY
North America,US-SOUTH,United States,LA
North America,US-NORTHEAST,United States,MA
North America,US-SOUTH,United States,MD
North America,US-NORTHEAST,United States,ME
North America,US-MIDWEST,United States,MI
North America,US-MIDWEST,United States,MN
North America,US-MIDWEST,United States,MO
North America,US-SOUTH,United States,MS
North America,US-WEST,United States,MT
North America,US-SOUTH,United States,NC
North America,US-MIDWEST,United States,ND
North America,US-MIDWEST,United States,NE
North America,US-NORTHEAST,United States,NH
North America,US-NORTHEAST,United States,NJ
North America,US-WEST,United States,NM
North America,US-WEST,United States,NV
North America,US-NORTHEAST,United States,NY
North America,US-MIDWEST,United States,OH
North America,US-SOUTH,United States,OK
North America,US-WEST,United States,OR
North America,US-NORTHEAST,United States,PA
North America,US-NORTHEAST,United States,RI
North America,US-SOUTH,United States,SC
North America,US-MIDWEST,United States,SD
North America,US-SOUTH,United States,TN
North America,US-SOUTH,United States,TX
North America,US-WEST,United States,UT
North America,US-SOUTH,United States,VA
North America,US-NORTHEAST,United States,VT
North America,US-WEST,United States,WA
North America,US-MIDWEST,United States,WI
North America,US-SOUTH,United States,WV
North America,US-WEST,United States,WY
